#
# Read me with ovd.pl
#
# http://www.nyc.deshaw.com/benefits/CompanyHolidays.shtml
# https://www.nyc.deshaw.com/benefits/2009/CompanyHolidays.shtml
# https://www.nyc.deshaw.com/benefits/2010/CompanyHolidays.shtml
# go/holidays
#
20001226-20001229       noinout OVD # winter holiday
# -------------------------------------------
20010220-20010220       noinout OVD # probably skiing...
20010312-20010314       noinout OVD #
20011123-20011123       noinout OVD # thanksgiving
20011224-20011224       noinout OVD # winter
20011226-20011228       noinout OVD # winter
# -------------------------------------------
20020424-20020430       noinout OVD # London
20020608-20020618       noinout OVD # China
20021104-20021105       noinout OBT # recruiting at Harvard
20021217-20021220       noinout OVD # orlando (w/ family)
# -------------------------------------------
20030101-20030101       noinout Company_Holiday
20030120-20030120       noinout Company_Holiday
20030129-20030131       noinout OBT # recruiting at Stanford
20030217-20030217       noinout Company_Holiday
20030318-20030327       noinout OVD # Hawaii
20030526-20030526       noinout Company_Holiday
20030604-20030604       noinout Company_Holiday
20030901-20030901       noinout Company_Holiday
20030915-20030919       noinout OVD # scuba in cozumel
20031127-20031127       noinout Company_Holiday
20031225-20031225       noinout Company_Holiday
20031226-20031226       noinout OVD
# -------------------------------------------
20040101-20040101       noinout Company_Holiday
20040119-20040119       noinout Company_Holiday
20040216-20040216       noinout Company_Holiday
20040329-20040405       noinout OVD # to Irvine, CA
20040531-20040531       noinout Company_Holiday
20040705-20040705       noinout Company_Holiday
20040726-20040803       noinout OVD # to China
20040806-20040806       noinout OSD/OWH
20040906-20040906       noinout Company_Holiday
20041006-20041006       noinout OWH # delivery
20041013-20041013       noinout OWH # delivery
20041020-20041020       noinout OBT # recruiting at Harvard
20041125-20041125       noinout Company_Holiday
20041224-20041224       noinout Company_Holiday
20041226-20041226       noinout OVD
# -------------------------------------------
20050101-20050101       noinout Company_Holiday
20050113-20050114       noinout OVD # John's bachelor party
20050117-20050117       noinout Company_Holiday
20050217-20050217       noinout OBT # recruiting at MIT
20050221-20050221       noinout Company_Holiday
20050324-20050403       noinout OVD # to Australia
20050415-20050415       noinout OVD # to Vegas for Andy's Bachelor party
20050530-20050530       noinout Company_Holiday
20050704-20050704       noinout Company_Holiday
20050901-20050901       noinout OVD # to Albany (Menands) for Karen's birth cert
20050905-20050905       noinout Company_Holiday
20051006-20051006       noinout OBT # recruiting at MIT
20051124-20051124       noinout Company_Holiday
20051125-20051125       noinout OVD # to LA
20051226-20051226       noinout Company_Holiday
20051227-20051228       noinout OVD # to SF
# -------------------------------------------
20060102-20060102       noinout Company_Holiday
20060116-20060116       noinout Company_Holiday
20060220-20060220       noinout Company_Holiday
20060529-20060529       noinout Company_Holiday
20060530-20060602       noinout OVD # to Alaska
20060704-20060704       noinout Company_Holiday
20060821-20060823       noinout OWH # EEG
20060830-20060901       noinout OVD # to SF for Jean's wedding
20060904-20060904       noinout Company_Holiday
